Rk,,Overall,Shootout,Overtime,Home,Road,EAS,WES,ATL,NEA,SEA,CEN,NWE,PAC,≤1,≥3,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr
1,Detroit Red Wings,54-21-7,5-May,2-Feb,29-9-3,25-12-4,7/2/01,47-19-6,,3/1/01,4/1/00,17-12-3,15-2-3,15-5-0,18-11-7,22-5-0,,10/2/01,7/4/01,12/2/01,9/2/01,4/8/02,10/2/01,2/1/00
2,San Jose Sharks,49-23-10,6-Jun,4-Mar,22-13-6,27-10-4,5/5/00,44-18-10,2/3/00,3/2/00,,16-4-0,12/4/04,16-10-6,26-7-10,12/6/00,,6/5/01,6/3/03,10/4/01,6/4/02,7/5/01,13-0-2,1/2/00
3,Montreal Canadiens,47-25-10,6-May,4-May,22-13-6,25-12-4,44-20-8,3/5/02,14-5-1,20-11-1,10/4/06,1/2/02,,2/3/00,16-5-10,21-10-0,,6/2/03,7/7/00,6/4/04,8/2/02,8/6/00,9/4/01,3-0-0
4,Anaheim Ducks,47-27-8,7-Aug,1-Apr,28-9-4,19-18-4,8/2/00,39-25-8,3/2/00,5-0-0,,13-5-2,9/10/01,17-10-5,24-8-8,14-11-0,1/1/00,3/6/02,8/4/02,7/6/01,8/4/01,10/2/01,8/4/01,2-0-0
5,Pittsburgh Penguins,47-27-8,4-Jul,4-Jan,26-10-5,21-17-3,39-26-7,8/1/01,15-14-3,11/7/02,13-5-2,,4/1/00,4-0-1,17-9-8,12/12/00,,6/4/01,5/7/01,9/5/00,8/3/02,8/3/03,10/4/01,1/1/00
6,New Jersey Devils,46-29-7,4-Aug,3-Jul,25-14-2,21-15-5,39-26-7,7/3/00,13-15-4,13-6-1,13-5-2,,4/1/00,3/2/00,27-9-7,13-11-0,,4/6/01,9/4/01,8/4/01,7/5/00,9/3/03,6/6/01,3/1/00
7,Minnesota Wild,44-28-10,8-Mar,2-Jun,25-11-5,19-17-5,4/4/02,40-24-8,2/2/01,,2/2/01,12/7/01,17-11-4,11/6/03,23-8-10,11/9/00,,7/3/02,7/6/00,8/6/00,7/4/01,7/5/02,7/4/04,1-0-1
8,Dallas Stars,45-30-7,3-May,4-Mar,23-16-2,22-14-5,6/4/00,39-26-7,3/2/00,3/2/00,,10/9/01,13-6-1,16-11-5,15-11-7,17-8-0,,5/5/02,8/4/02,10/4/00,6/7/01,12/2/00,2/7/02,2/1/00
9,New York Rangers,42-27-13,9-Aug,4-Apr,25-13-3,17-14-10,41-20-11,1/7/02,20-7-5,11/6/03,10/7/03,,0-3-2,1/4/00,16-7-13,12/10/00,,4/6/01,10/3/01,6/6/02,5/7/02,8/2/02,8/3/03,1-0-2
10,Colorado Avalanche,44-31-7,3-Jul,4-Apr,27-12-2,17-19-5,8/2/00,36-29-7,4/1/00,,4/1/00,7/12/01,20-10-2,9/7/04,19-12-7,12/12/00,,7/4/00,6/6/01,8/5/02,6/5/01,6/6/02,9/5/01,2-0-0
11,Philadelphia Flyers,42-29-11,6-Mar,5-Mar,21-14-6,21-15-5,37-24-11,5/5/00,17-12-3,7/8/05,13-4-3,,3/2/00,2/3/00,17-9-11,15-12-0,,7/3/00,7/5/02,5/6/02,9/3/01,4/8/02,8/3/04,2/1/00
12,Ottawa Senators,43-31-8,5-Mar,3-Mar,22-15-4,21-16-4,39-28-5,4/3/03,11/6/03,18-13-1,10/9/01,2/1/02,,2/2/01,16-7-8,15-12-0,,9/1/00,7/5/02,9/3/02,7/7/00,4/7/02,6/6/02,1/2/00
13,Washington Capitals,43-31-8,4-Apr,4-Jul,23-15-3,20-16-5,37-28-7,6/3/01,8/8/04,11/9/00,18-11-3,2/2/01,4/1/00,,21-12-8,12/10/00,,5/6/00,3/10/02,7/3/03,9/4/00,6/4/03,10/4/00,3-0-0
14,Calgary Flames,42-30-10,3-Mar,7-Mar,21-11-9,21-19-1,4/3/03,38-27-7,1/1/03,,3/2/00,10/8/02,16-12-4,12/7/01,22-7-10,11/12/00,,6/3/03,4/10/00,9/1/04,7/3/01,7/6/01,7/6/01,2/1/00
15,Boston Bruins,41-29-12,7-Jun,5-Mar,21-16-4,20-13-8,35-25-12,6/4/00,12/4/04,13-13-6,10/8/02,3/2/00,,3/2/00,18-9-12,11/13/00,,6/4/00,7/4/02,6/8/02,8/3/01,7/4/01,6/5/05,1/1/01
16,Carolina Hurricanes,43-33-6,3-Feb,3-May,24-13-4,19-20-2,39-27-6,4/6/00,8/10/02,12/6/02,19-11-2,1/4/00,3/2/00,,18-9-6,16-19-0,,7/3/03,7/6/00,6/9/00,6/6/01,7/5/01,9/2/01,1/2/00
17,Nashville Predators,41-32-9,5-Mar,4-May,23-14-4,18-18-5,5/4/01,36-28-8,,2/3/00,3/1/01,18-9-5,10/8/02,8/11/01,17-9-9,17-17-0,,4/7/00,8/2/02,6/9/00,8/3/03,6/4/03,7/6/01,2/1/00
18,Buffalo Sabres,39-31-12,9-Apr,3-May,20-15-6,19-16-6,35-25-12,4/6/00,6/8/06,15-13-4,14-4-2,2/3/00,,2/3/00,14-6-12,15-14-0,,5/5/00,6/6/01,8/5/01,4/5/04,8/4/03,6/5/03,2/1/00
19,Edmonton Oilers,41-35-6,15-4,2-Apr,23-17-1,18-18-5,5/4/01,36-31-5,3/2/00,,2/2/01,11/9/00,13-16-3,12/6/02,25-8-6,8/15/00,,5/8/00,6/6/01,5/6/03,7/5/01,7/5/00,10/4/01,1/1/00
20,Chicago Blackhawks,40-34-8,4-May,4-Apr,23-16-2,17-18-6,4/5/01,36-29-7,,2/2/01,2/3/00,19-11-2,9/8/03,8/10/02,18-9-8,15-12-0,,6/6/00,8/3/02,5/6/01,4/9/01,7/4/02,8/5/02,2/1/00
21,Vancouver Canucks,39-33-10,9-Jun,1-Apr,21-15-5,18-18-5,5/3/02,34-30-8,3/1/01,,2/2/01,12/6/02,14-13-5,8/11/01,19-13-10,13-9-0,,5/7/00,9/2/02,8/5/02,4/7/01,6/1/05,7/8/00,0-3-0
22,Florida Panthers,38-35-9,6-May,3-Apr,18-15-8,20-20-1,34-32-6,4/3/03,11/9/00,7/9/04,16-14-2,3/2/00,1/1/03,,22-16-9,6/9/00,,5/7/00,7/6/01,6/5/02,4/7/02,6/6/03,8/3/01,2/1/00
23,Phoenix Coyotes,38-37-7,6-May,1-Apr,17-20-4,21-17-3,5/5/00,33-32-7,3/2/00,2/3/00,,8/10/02,6/11/03,19-11-2,18-11-7,12/14/00,,4/6/00,7/6/00,7/6/01,9/4/01,6/5/03,4/9/01,1/1/01
24,Toronto Maple Leafs,36-35-11,4-Mar,7-May,18-17-6,18-18-5,33-28-11,3/7/00,8/10/02,14-13-5,11/5/04,3/2/00,,0-5-0,15-12-11,11/17/00,,5/5/03,4/6/03,6/5/02,5/8/01,8/4/01,8/5/00,0-2-1
25,Columbus Blue Jackets,34-36-12,8-Mar,4-Feb,20-14-7,14-22-5,6/3/01,28-33-11,,3/2/00,3/1/01,11/18/03,8/10/02,9/5/06,14-8-12,14-15-0,,7/3/01,4/7/03,7/5/02,7/7/00,5/5/03,4/6/03,0-3-0
26,New York Islanders,35-38-9,3-May,6-May,18-18-5,17-20-4,32-35-5,3/3/04,15-15-2,7/13/00,10/7/03,,1/1/03,2/2/01,23-8-9,7/18/00,,5/4/00,8/5/01,7/7/01,4/6/04,7/5/01,3/10/01,1/1/01
27,St. Louis Blues,33-36-13,5-Mar,8-Jan,20-15-6,13-21-7,6/3/01,27-33-12,,4/1/00,2/2/01,15-14-3,6/7/07,6/12/02,15-11-13,10/15/00,,6/4/00,8/4/01,5/6/03,4/5/03,5/7/03,3/9/02,2/1/01
28,Atlanta Thrashers,34-40-8,6-Sep,2-Jun,19-19-3,15-21-5,29-35-8,5/5/00,7/9/04,7/11/02,15-15-2,3/2/00,2/3/00,,18-6-8,10/20/00,,4/8/00,7/5/00,8/7/01,5/5/03,5/6/01,4/8/03,1/1/00
29,Los Angeles Kings,32-43-7,3-May,4-Feb,17-21-3,15-22-4,5/4/01,27-39-6,2/2/01,3/2/00,,7/12/01,8/9/03,12/18/02,10/13/07,11/21/00,1/1/00,5/6/00,4/6/01,4/11/01,7/5/01,5/6/01,5/6/03,1/2/00
30,Tampa Bay Lightning,31-42-9,1-Feb,8-Feb,20-18-3,11/24/06,27-36-9,4/6/00,7/11/02,8/8/04,12/17/03,2/3/00,2/3/00,,12/11/09,11/18/00,,5/5/01,5/8/01,5/8/01,6/5/02,5/5/02,5/8/02,0-3-0
