Rk,,Overall,Shootout,Overtime,Home,Road,EAS,WES,ATL,NEA,SEA,CEN,NWE,PAC,≤1,≥3,Oct,Nov,Dec,Jan,Feb,Mar,Apr
1,Vancouver Canucks,51-22-9,7-Aug,2-Jul,27-10-4,24-12-5,11/6/01,40-16-8,2/2/01,6/2/00,3/2/00,11/6/03,18-5-1,11/5/04,27-9-9,19-7-0,5/5/01,9/4/00,10/4/01,7/2/02,9/1/04,9/5/01,2/1/00
2,New York Rangers,51-24-7,5-Apr,2-Aug,27-12-2,24-12-5,41-18-5,10/6/02,15-7-2,11/8/01,15-3-2,3/3/00,3/2/00,4/1/02,21-5-7,17-12-0,4/3/03,9/2/00,10/4/01,8/3/01,9/3/01,10/6/01,1/3/00
3,St. Louis Blues,49-22-11,10-Apr,1-Mar,30-6-5,19-16-6,14-2-2,35-20-9,5-0-1,3/1/01,6/1/00,10/9/05,12/5/03,13-6-1,20-7-11,17-5-0,5/6/00,9/2/02,7/4/03,8/1/02,11/4/00,8/4/03,1/1/01
4,Pittsburgh Penguins,51-25-6,3-Sep,3-Feb,29-10-2,22-15-4,38-23-3,13-2-3,13-10-1,11/8/01,14-5-1,4/1/01,5-0-1,4/1/01,17-9-6,21-6-0,8/3/02,6/4/02,7/6/00,8/4/00,8/4/01,11/3/01,3/1/00
5,Nashville Predators,48-26-8,5-May,3-Mar,26-10-5,22-16-3,8/7/03,40-19-5,2/3/01,1/2/02,5/2/00,16-5-3,13-6-1,11/8/01,20-10-8,12/13/00,5/4/02,6/5/02,9/5/00,11/2/00,6/4/03,8/6/01,3-0-0
6,Philadelphia Flyers,47-26-9,7-Apr,2-Jun,22-13-6,25-13-3,36-21-7,11/5/02,11/11/02,14-3-3,11/7/02,4/3/00,3/1/01,4/1/01,25-5-9,16-8-0,6/4/01,7/3/02,9/3/01,7/4/02,5/7/01,11/3/02,2/2/00
7,Boston Bruins,49-29-4,3-Sep,1-Feb,24-14-3,25-15-1,38-23-3,11/6/01,12/7/01,19-4-1,7/12/01,5-0-1,2/3/00,4/3/00,19-12-4,20-7-0,3/7/00,12-0-1,9/3/00,8/4/01,5/7/01,9/7/01,3/1/00
8,Detroit Red Wings,48-28-6,3-Sep,3-Mar,31-7-3,17-21-3,10/7/01,38-21-5,2/3/01,4/2/00,4/2/00,13-10-1,11/6/03,14-5-1,20-13-6,19-9-0,5/4/00,10/3/01,9/6/00,10/3/00,8/3/02,4/8/02,2/1/01
9,New Jersey Devils,48-28-6,4-Dec,2-Apr,24-13-4,24-15-2,38-22-4,10/6/02,13-11-0,11/5/04,14-6-0,4-0-1,2/4/00,4/2/01,24-7-6,11/11/00,4/4/01,8/6/00,9/5/00,6/4/02,8/4/01,10/5/02,3-0-0
10,Chicago Blackhawks,45-26-11,7-Jul,4-Apr,27-8-6,18-18-5,12/3/03,33-23-8,4/2/01,4-0-1,4/1/01,16-6-2,8/8/04,9/9/02,22-6-11,18-14-0,7/2/02,7/6/01,10/2/01,5/5/03,5/9/00,10/2/02,1-0-2
11,Phoenix Coyotes,42-27-13,10-Jun,3-Mar,22-13-6,20-14-7,8/7/03,34-20-10,2/4/01,3-0-2,3/3/00,8/9/03,13-5-2,13-6-5,17-11-13,14-13-0,5/3/02,8/4/01,6/9/01,3/5/04,11-0-1,6/6/04,3-0-0
12,San Jose Sharks,43-29-10,5-Sep,5-Mar,26-12-3,17-17-7,12/5/01,31-24-9,4/1/00,4/2/00,4/2/01,10/8/02,9/5/06,12/11/01,22-13-10,12/8/00,6/4/00,7/3/01,6/4/03,9/3/02,5/8/01,7/7/03,3-0-0
13,Los Angeles Kings,40-27-15,9-Jun,6-Mar,22-14-5,18-13-10,7/7/04,33-20-11,2/1/03,2/4/00,3/2/01,12/8/00,8/8/04,13-4-7,17-14-15,12/6/00,6/3/02,6/5/02,7/6/02,5/2/04,5/7/02,10/4/01,1-0-2
14,Florida Panthers,38-26-18,11-Jun,7-Jan,21-9-11,17-17-7,33-19-12,5/7/06,8/7/05,13-4-3,12/8/04,0-4-2,2-0-4,3/3/00,17-5-18,8/15/00,6/4/01,7/3/03,7/5/03,2/3/04,8/5/01,7/5/04,1/1/02
15,Washington Capitals,42-32-8,4-Apr,4-Jul,26-11-4,16-21-4,34-22-8,8/10/00,8/8/04,14-6-0,12/8/04,4/3/00,2/3/00,2/4/00,19-9-8,12/17/00,7/2/00,5/8/01,8/5/01,6/4/02,6/7/01,8/5/03,2/1/00
16,Ottawa Senators,41-31-10,4-Jun,6-May,20-17-4,21-14-6,34-22-8,7/9/02,12/5/03,9/12/03,13-5-2,2/3/00,4/2/02,1/4/00,18-11-10,17-10-0,7/5/00,5/5/02,7/5/03,8/5/01,7/3/02,6/5/02,1/3/00
17,Calgary Flames,37-29-16,9-Mar,7-Feb,23-12-6,14-17-10,6/7/05,31-22-11,1/2/02,3/4/01,2/1/02,7/11/02,15-6-3,9/5/06,19-5-16,10/12/00,4/4/01,6/8/00,8/4/04,5/6/01,5/2/05,7/5/05,2-0-0
18,Dallas Stars,42-35-5,4-Jul,1-Apr,22-16-3,20-19-2,8/7/03,34-28-2,3/4/01,3-0-2,2/3/00,8/11/01,14-6-0,12/11/01,20-10-5,11/19/00,8/3/00,6/6/01,7/6/00,4/6/01,8/5/03,9/6/00,0-3-0
