Rk,,Overall,Shootout,Overtime,Home,Road,EAS,WES,ATL,NEA,SEA,CEN,NWE,PAC,≤1,≥3,Jan,Feb,Mar,Apr
1,Chicago Blackhawks,36-7-5,5-Jun,May-00,18-3-3,18-4-2,,36-7-5,,,,16-1-1,10/3/02,10/3/02,19-3-5,10/1/00,6-0-1,11-0-2,9/5/00,10/2/02
2,Pittsburgh Penguins,36-12-0,Mar-00,Feb-00,18-6-0,18-6-0,36-12-0,,12/6/00,12/3/00,12/3/00,,,,13-2-0,10/5/00,4/3/00,9/5/00,15-0-0,8/4/00
3,Anaheim Ducks,30-12-6,3-Jun,3-Jan,16-7-1,14-5-5,,30-12-6,,,,10/2/03,12/3/00,8/7/03,14-2-6,9/5/00,3/1/01,11/2/00,9/4/04,7/5/01
4,Montreal Canadiens,29-14-5,2-Mar,3-Feb,14-7-3,15-7-2,29-14-5,,7/6/02,9/6/03,13-2-0,,,,12/6/05,14-6-0,4/2/00,9/2/03,9/3/02,7/7/00
5,Boston Bruins,28-14-6,3-Apr,3-Jan,16-5-3,12/9/03,28-14-6,,7/6/02,10/6/02,11/2/02,,,,13-7-6,7/2/00,5/1/01,8/1/01,9/6/02,6/6/02
6,St. Louis Blues,29-17-2,1-May,1-Apr,15-8-1,14-9-1,,29-17-2,,,,11/7/00,10/4/01,8/6/01,14-4-2,9/7/00,6/1/00,4/6/02,7/7/00,12/3/00
7,Los Angeles Kings,27-16-5,4-Feb,1-Jan,19-4-1,8/12/04,,27-16-5,,,,9/5/01,9/4/02,9/7/02,11/5/05,9/7/00,2/2/02,8/4/00,10/6/01,7/4/02
8,Vancouver Canucks,26-15-7,6-May,1-Jan,15-6-3,11/9/04,,26-15-7,,,,9/2/04,11/6/01,6/7/02,13-3-7,11/7/00,3/2/02,7/3/02,9/5/02,7/5/01
9,Washington Capitals,27-18-3,Mar-00,3-Apr,15-8-1,12/10/02,27-18-3,,4/9/02,8/6/01,15-3-0,,,,13-7-3,9/9/00,1/5/01,6/6/00,9/6/01,11/1/01
10,Toronto Maple Leafs,26-17-5,0-5,Feb-00,13-9-2,13-8-3,26-17-5,,8/5/02,10/6/02,8/6/01,,,,11/3/05,10/8/00,4/3/00,9/6/00,7/3/04,6/5/01
11,San Jose Sharks,25-16-7,4-Aug,0-3,17-2-5,8/14/02,,25-16-7,,,,4/7/04,12/2/01,9/7/02,14-6-7,7/5/00,7-0-0,2/6/04,8/5/02,8/5/01
12,New York Rangers,26-18-4,4-Apr,Apr-00,16-6-2,10/12/02,26-18-4,,10/6/02,6/8/01,10/4/01,,,,12/5/04,12/6/00,3/4/00,6/4/02,7/7/01,10/3/01
