Rk,,Overall,Shootout,Overtime,Home,Road,EAS,WES,ATL,MET,CEN,PAC,≤1,≥3,Oct,Nov,Dec,Jan,Feb,Mar,Apr
1,Nashville Predators,53-18-11,7-Jun,4-May,28-9-4,25-9-7,18-9-5,35-9-6,8/5/03,10/4/02,18-5-3,17-4-3,24-4-11,16-8-0,5/4/02,10/3/01,8/3/02,6/2/02,10/2/02,11/3/02,3/1/00
2,Winnipeg Jets,52-20-10,2-Apr,8-May,32-7-2,20-13-8,19-7-6,33-13-4,10/3/03,9/4/03,15-9-2,18-4-2,22-4-10,23-11-0,6/3/02,9/3/02,8/5/02,7/2/02,7/4/01,11/3/01,4-0-0
3,Tampa Bay Lightning,54-23-5,2-Jun,3-Jun,29-10-2,25-13-3,33-14-5,21-9-0,18-8-2,15-6-3,11/3/00,10/6/00,23-6-5,20-11-0,10/2/01,7/4/01,11/2/00,6/5/01,9/4/01,9/5/00,2/1/01
4,Boston Bruins,50-20-12,3-Mar,9-Jun,28-8-5,22-12-7,33-11-8,17-9-4,18-8-2,15-3-6,7/4/03,10/5/01,21-3-12,21-7-0,4/3/03,7/5/01,10/2/02,8/1/02,9/4/00,11/2/03,1/3/01
5,Vegas Golden Knights,51-24-7,3-Apr,4-Aug,29-10-2,22-14-5,18-11-3,33-13-4,10/4/02,8/7/01,13-7-1,20-6-3,22-9-7,21-11-0,8/3/00,7/5/01,11/1/01,7/3/02,8/5/01,9/5/02,1/2/00
6,Toronto Maple Leafs,49-26-7,2-Jul,5-May,29-10-2,20-16-5,30-17-5,19-9-2,17-8-3,13-9-2,8/4/02,11/5/00,25-6-7,19-7-0,7/5/00,10/4/01,6/6/01,6/3/03,10/2/02,8/5/00,2/1/00
7,Washington Capitals,49-26-7,1-Mar,6-Aug,28-11-2,21-15-5,33-14-5,16-12-2,16-6-2,17-8-3,9/4/01,7/8/01,20-6-7,14-14-0,5/6/01,9/5/00,10/2/02,6/2/02,6/6/02,10/4/00,3/1/00
8,Minnesota Wild,45-26-11,3-Mar,8-Apr,27-6-8,18-20-3,20-8-4,25-18-7,10/5/01,10/3/03,13-12-1,12/6/06,12/4/11,20-14-0,4/4/02,8/6/01,8/6/00,7/2/02,9/2/02,7/5/03,2/1/01
9,Anaheim Ducks,44-25-13,7-Apr,6-May,26-10-5,18-15-8,19-10-3,25-15-10,8/7/01,11/3/02,10/8/03,15-7-7,18-4-13,14-9-0,6/4/01,5/6/03,7/4/04,7/3/01,6/4/03,9/4/01,4-0-0
10,Pittsburgh Penguins,47-29-6,2-Feb,4-Dec,30-9-2,17-20-4,33-17-2,14-12-4,15-9-0,18-8-2,5/6/03,9/6/01,19-12-6,18-12-0,7/5/01,6/5/02,6/8/00,9/3/00,8/3/01,9/4/02,2/1/00
11,San Jose Sharks,45-27-10,3-May,7-May,25-13-3,20-14-7,16-13-3,29-14-7,8/5/03,8/8/00,8/9/04,21-5-3,18-4-10,17-9-0,6/5/00,7/3/02,7/4/02,6/4/04,8/5/01,10/4/01,1/2/00
12,Los Angeles Kings,45-29-8,1-Feb,7-Sep,23-15-3,22-14-5,21-10-1,24-19-7,12/4/00,9/6/01,11/8/02,13-11-5,14-11-8,19-8-0,9/2/01,6/6/02,8/3/02,4/7/00,8/6/00,8/4/03,2/1/00
